airbnb_listing_id,n_stay_dates,coverage_ratio,avg_daily_price,annual_revenue_occ_40,annual_revenue_occ_50,annual_revenue_occ_60
28160414,57,0.6264,591.05,86293.68,107867.11,129440.53
2951220,85,0.9341,789.67,115291.48,144114.35,172937.21
30085847,65,0.7143,562.24,82087.56,102609.46,123131.35
31169655,65,0.7143,404.72,59089.01,73861.26,88633.51
31278015,56,0.6154,504.29,73625.71,92032.14,110438.57
31511990,86,0.9451,483.43,70580.81,88226.02,105871.22
32592683,56,0.6154,1123.21,163989.29,204986.61,245983.93
32990586,67,0.7363,998.84,145830.03,182287.54,218745.04
34540951,62,0.6813,543.24,79313.32,99141.65,118969.98
36632832,70,0.7692,537.74,78509.41,98136.77,117764.12
37153670,53,0.5824,386.80,56473.08,70591.34,84709.61
37494985,79,0.8681,843.45,123143.61,153929.51,184715.41
38638326,65,0.7143,627.63,91634.47,114543.08,137451.70
38693604,54,0.5934,483.33,70566.67,88208.33,105850.00
38852725,62,0.6813,494.87,72251.16,90313.95,108376.74
38980085,77,0.8462,859.53,125491.74,156864.68,188237.61
39685785,68,0.7473,529.90,77365.27,96706.59,116047.91
39745810,89,0.9780,2352.58,343476.42,429345.53,515214.64
39972515,59,0.6484,337.71,49305.93,61632.42,73958.90
40209404,69,0.7582,327.67,47839.33,59799.17,71759.00
40250642,67,0.7363,833.79,121732.77,152165.96,182599.15
40289385,62,0.6813,2586.40,377613.69,472017.12,566420.54
40371384,82,0.9011,556.46,81242.62,101553.27,121863.93
40576710,59,0.6484,541.53,79062.71,98828.39,118594.07
41285546,79,0.8681,610.21,89090.65,111363.31,133635.97
41404141,68,0.7473,700.70,102302.20,127877.75,153453.30
41769298,48,0.5275,1095.90,160000.79,200000.99,240001.19
42003334,61,0.6703,633.08,92429.57,115536.96,138644.35
42270655,74,0.8132,517.25,75518.69,94398.36,113278.03
42625075,58,0.6374,1055.58,154114.96,192643.70,231172.44
42709234,83,0.9121,675.82,98669.61,123337.02,148004.42
44153810,48,0.5275,188.38,27502.75,34378.44,41254.13
45350304,79,0.8681,706.51,103149.92,128937.41,154724.89
46036384,55,0.6044,346.38,50571.75,63214.68,75857.62
46222390,73,0.8022,483.33,70566.00,88207.50,105849.00
46298558,50,0.5495,679.68,99233.28,124041.60,148849.92
46598066,74,0.8132,1027.22,149973.90,187467.37,224960.84
46604700,87,0.9560,350.74,51207.68,64009.60,76811.52
46710652,67,0.7363,595.52,86946.27,108682.84,130419.40
46724379,65,0.7143,348.68,50907.95,63634.94,76361.93
46755580,58,0.6374,300.00,43800.00,54750.00,65700.00
46769078,79,0.8681,812.18,118577.57,148221.96,177866.35
47052262,68,0.7473,443.46,64745.27,80931.59,97117.91
47891397,76,0.8352,497.15,72584.23,90730.29,108876.34
52214716,76,0.8352,1490.04,217545.12,271931.40,326317.68
52266549,55,0.6044,572.73,83618.18,104522.73,125427.27
52365560,75,0.8242,324.53,47381.87,59227.33,71072.80
52530322,74,0.8132,472.97,69054.05,86317.57,103581.08
52596621,84,0.9231,757.39,110578.66,138223.33,165867.99
52650644,64,0.7033,661.88,96633.75,120792.19,144950.63
52758042,89,0.9780,2897.36,423014.49,528768.12,634521.74
53154219,79,0.8681,616.05,89943.70,112429.63,134915.55
53175731,90,0.9890,1012.33,147800.67,184750.83,221701.00
